model,title,price,rating,reviews
pencil,L'OREAL Paris Brow Artist Eyebrow Pencil - CHOOSE SHADE - NEW ,"238,717.69 VND",,
pencil,1PC Rotating Eyebrow Pencil With Brush Waterproof Long Lasting Eyeliner 5 Colors,"29,727.12 VND",,
pencil,L'OREAL Brow Artist Designer Brow Pencil & Brush 302 Chatain Claire - NEW CARDED,"113,803.79 VND",,
pencil,Rimmel Lasting Finish 1000 Kisses Lip Liner Pencil Contour *CHOOSE YOUR SHADE*,"76,569.81 VND,92,484.33 VND",,
pencil,VERONA PRO SERIES HENNA CREAM FOR EYEBROWS BLACK BROWN,"50,746.29 VND",5.0 out of 5 stars.,55 product ratings
pencil,"HB PENCILS BOXED, TRADITIONAL SCHOOL PENCIL STRONG +FREE METAL SHARPENERS","38,735.33 VND,190,673.86 VND",,
pencil,Maybelline Express Brow Ultra Slim Eyebrow Pencil Xpress - Blonde - NEW Sealed,"137,825.69 VND",,
pencil,Professional Waterproof Eyebrow Pencil Brow Liner Definer Black Brown Dark Brown,"32,729.86 VND",,
pencil,Flormar Eye Brow Pencil Natural Look *Choose Color*,"194,877.71 VND",,
pencil,Eyebrow PENCIL & BRUSH - Fine Brow Definition Shaper - Waterproof Liner ,"53,749.02 VND,56,751.76 VND",,
pencil,2× Waterproof Beard Pencil Filler Hair Grower Long Last Moustache Eyebrow Brush,"179,761.90 VND,256,904.76 VND",,
pencil,KIKO Milano Eyebrow Sculpt Automatic Pencil For Sculpted Brows - Free Postage,"390,355.95 VND,426,388.81 VND",,
pencil,Avon Dual Ended Brow Pencil With Brush Long Lasting Four Shades NEW NO BOX,"75,068.45 VND,130,619.12 VND",,
pencil,"AVON ULTRA PRECISION SELF SHARPENING BROW PENCIL -CHOOSE YOUR SHADE, NEW & BOXED","179,864.02 VND",,
pencil,1x NONSLIP TIP APPLE IPAD STYLUS PENCIL PEN TIP REPLACEMENT + nib protector ,"71,765.45 VND",,
pencil,MacFee Eyeliner Waterproof Liquid Eye Liner Pencil pen Professional Makeup ,"114,704.60 VND",,
pencil,Microblading Tattoo Eyebrow 3D liquid Ink Pen waterproof 4 fork pencil brow,"104,795.57 VND",,
pencil,Waterproof Double-ended Eye Brow Pencil Eyeliner Eyebrow Pen Pencil,"40,238.10 VND,42,857.14 VND",,
pencil,ColourPop Lippie Pencil Lip Liner *100% GENUINE* Brand New No Box,"118,608.17 VND,238,717.69 VND",,
pencil,Helix Desktop Rotary Pencil Sharpener Metal Heavy Duty Body & Desk Clamp,"330,000.93 VND,366,033.79 VND",,
